name,team,position,old_nil,new_nil,change,direction
Ryan Sullivan,Harvard,Big,111974,121525,9550,up
JT Rock,New Mexico,Big,736628,727104,-9524,down
Taylor Bol Bowen,Alabama,Big,239491,229969,-9522,down
Yohan Traore,Butler,Big,382333,372835,-9498,down
Jack Whitbourn,Fordham,Big,230591,221162,-9429,down
DeWayne Brown II,Tennessee,Big,313892,304488,-9404,down
JT Pettigrew,Valparaiso,Big,430613,421227,-9386,down
RJ Godfrey,Clemson,Big,1324469,1315118,-9351,down
Oscar Cluff,Purdue,Big,1906921,1897617,-9304,down
Willie Williams,Northwestern St.,Big,799499,808783,9284,up
Sean Stewart,Oregon,Big,368474,359208,-9266,down
Owen Freeman,Creighton,Big,1114466,1105218,-9248,down
Brendan Terry,Southeast Missouri St.,Big,561375,552278,-9098,down
Xavier Edmonds,TCU,Big,1838482,1829402,-9080,down
Thomas Dowd,Troy,Big,1019924,1010887,-9037,down
Kenneth Chime,West Georgia,Big,296098,287107,-8991,down
Khamari McGriff,Kansas St.,Big,1046697,1055616,8919,up
Jafeth Martinez,USC Upstate,Big,239831,230943,-8888,down
J.P. Estrella,Tennessee,Big,878216,869399,-8817,down
Christian Gurdak,Virginia Tech,Big,348164,339410,-8755,down
Dorin Buca,Kansas St.,Big,262278,253525,-8753,down
Andy Sigiscar,Tarleton St.,Big,335988,327249,-8740,down
Kebba Njie,Notre Dame,Big,76341,85057,8716,up
Chris Loofe,Middle Tennessee,Big,211861,203147,-8714,down
Rueben Chinyelu,Florida,Big,1758480,1749769,-8711,down
Bryant Selebangue,Western Kentucky,Big,372736,364105,-8631,down
Dylan James,Georgia,Big,242003,233385,-8618,down
Mahmoud Fofana,Cal St. Northridge,Big,699806,708411,8605,up
Christian Brown,James Madison,Big,158940,167537,8596,up
Jonathan Beagle,Richmond,Big,287852,296313,8461,up
Michael Imariagbe,Wright St.,Big,891994,883644,-8350,down
Bukky Oboye,Santa Clara,Big,1059778,1051441,-8336,down
Drayton Jones,Butler,Big,723069,714772,-8297,down
Faizon Fields,Milwaukee,Big,105209,113505,8296,up
Ryan Kalambay,Detroit Mercy,Big,235559,227270,-8289,down
Owen Aquino,High Point,Big,754444,746171,-8273,down
Gabe Oldham,Denver,Big,195481,187226,-8255,down
Reis Jones,Charleston Southern,Big,374604,366370,-8234,down
Assane Diop,San Diego,Big,193694,185465,-8229,down
Traivar Jackson,Northern Arizona,Big,340695,332577,-8118,down
Hank Alvey,Lehigh,Big,1422380,1414272,-8108,down
Connor Turnbull,Evansville,Big,729522,721421,-8102,down
Nick Pringle,Arkansas,Big,186664,178586,-8078,down
